OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
4266,2019/01/03 00:00:00+00,1625,3,Slight,LC,Loss of Control,2,1,0,1,0,0,0,360268,174431,CYC
4267,2019/01/05 00:00:00+00,1900,1,Fatal,E,Elderly pedestrian,1,1,1,0,0,0,1,361152,175181,E
4268,2019/01/28 00:00:00+00,1535,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,358574,169387,CYC
4269,2019/01/28 00:00:00+00,1947,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,358825,171819,CYC
4270,2019/02/13 00:00:00+00,1330,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,360268,174312,CARS
4271,2019/02/07 00:00:00+00,1739,2,Serious,J,Turning movement – unidentified priority,3,1,0,0,1,0,0,359731,169886,MCYC
4272,2019/01/26 00:00:00+00,0614,2,Serious,J2,Turning Movement from minor road,2,1,0,0,1,0,0,359282,176058,MCYC
4273,2019/02/09 00:00:00+00,1115,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,362664,173719,CARS
4274,2019/02/25 00:00:00+00,2020,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,361819,173560,CARS
4275,2019/02/26 00:00:00+00,1520,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,358998,173455,CARS
4276,2019/03/02 00:00:00+00,0740,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,0,0,0,359092,176722,CARS
4277,2019/03/02 00:00:00+00,2008,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,361045,173745,CARS
4278,2019/03/06 00:00:00+00,1130,1,Fatal,LC,Loss of Control,1,1,0,0,0,0,1,362049,168435,CARS
4279,2019/01/04 00:00:00+00,0111,3,Slight,LC,Loss of Control,4,1,0,0,0,0,0,362736,173739,CARS
4280,2019/01/06 00:00:00+00,0126,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358865,172895,A
4281,2019/01/08 00:00:00+00,2315,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,357465,173944,CARS
4282,2019/01/15 00:00:00+00,0849,2,Serious,E,Elderly pedestrian,1,1,1,1,0,0,1,358529,171575,E
4283,2019/01/20 00:00:00+00,2005,3,Slight,NONE,Other,1,1,0,0,1,0,0,356892,172977,MCYC
4284,2019/01/15 00:00:00+00,0720,2,Serious,O,Overtaking,3,1,0,1,0,0,0,362241,171354,CYC
4285,2019/02/17 00:00:00+00,0330,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,357856,173245,CARS
4286,2019/02/07 00:00:00+00,1639,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359168,173546,CYC
4287,2019/01/21 00:00:00+00,0715,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357637,175351,CYC
4288,2019/01/27 00:00:00+00,2030,3,Slight,LC,Loss of Control,4,2,0,0,0,1,0,361693,173938,CARS
4289,2019/01/27 00:00:00+00,0422,3,Slight,LC,Loss of Control,4,1,0,0,0,0,0,359438,174196,CARS
4290,2019/02/03 00:00:00+00,1900,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,359486,169715,CARS
4291,2019/02/03 00:00:00+00,0215,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359012,173564,CARS
4292,2019/02/14 00:00:00+00,0920,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,359267,172690,MCYC
4293,2019/02/11 00:00:00+00,2335,3,Slight,J1,Turning Movement from major road,3,2,0,0,0,0,0,359500,173553,CARS
4294,2019/02/12 00:00:00+00,1429,3,Slight,NONE,Other,2,1,0,0,0,0,0,359841,169795,CARS
4295,2019/02/24 00:00:00+00,1100,3,Slight,NONE,Other,2,1,0,1,0,0,0,360634,173429,CYC
4296,2019/02/24 00:00:00+00,0412,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,359759,174270,A
4297,2019/02/27 00:00:00+00,1920,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,359511,173127,CYC
4298,2019/03/14 00:00:00+00,1830,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,359160,172800,CARS
4299,2019/03/22 00:00:00+00,1131,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359384,173870,CARS
4300,2019/03/26 00:00:00+00,1008,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358797,172880,A
4301,2019/03/10 00:00:00+00,0426,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358551,172856,A
4302,2019/03/08 00:00:00+00,0918,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,358108,173136,CYC
4303,2019/01/21 00:00:00+00,1555,2,Serious,E,Elderly pedestrian,1,3,3,0,0,0,2,357541,176548,E
4304,2019/01/09 00:00:00+00,0845,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,360786,170736,CARS
4305,2019/01/11 00:00:00+00,1626,3,Slight,NONE,Other,2,1,0,0,0,0,0,362448,173935,CARS
4306,2019/01/11 00:00:00+00,0750,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,362113,173565,CYC
4307,2019/01/14 00:00:00+00,1030,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361005,173768,A
4308,2019/02/20 00:00:00+00,1545,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357597,170676,CYC
4309,2019/03/27 00:00:00+00,1500,3,Slight,NONE,Other,2,1,0,1,0,0,0,357879,173290,CYC
4310,2019/03/31 23:00:00+00,1523,3,Slight,J2,Turning Movement from minor road,2,2,0,0,0,0,0,356985,177654,CARS
4311,2019/01/17 00:00:00+00,0815,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360627,173414,CYC
