HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
30,10,E06000025,371080,4,534,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,5,49,E,91,10/16/2007,2007,181850,4,5,380,A432,373410,4,PU,372500,1,182520,B4060 Horse St,7
22,4,E06000025,371080,0,515,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,3,34,E,82,10/16/2007,2007,181850,3,7,392,A432,373410,1,PU,372500,0,182520,B4060 Horse St,8
21,5,E06000025,371080,2,341,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,8,39,E,61,10/16/2007,2007,181850,2,3,234,A432,373410,2,PU,372500,1,182520,B4060 Horse St,9
15,6,E06000025,371080,0,315,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,4,32,E,48,10/16/2007,2007,181850,1,9,228,A432,373410,1,PU,372500,0,182520,B4060 Horse St,10
18,8,E06000025,371080,4,291,South West,B4060 Station Rd,181750,South Gloucestershire,4,78068,4,38,E,40,10/16/2007,2007,181850,1,5,204,A432,373410,3,PU,372500,3,182520,B4060 Horse St,11
12,5,E06000025,371080,2,315,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,4,28,E,62,10/16/2007,2007,181850,0,8,220,A432,373410,1,PU,372500,0,182520,B4060 Horse St,12
16,5,E06000025,371080,2,330,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,6,35,E,45,10/16/2007,2007,181850,1,8,244,A432,373410,2,PU,372500,0,182520,B4060 Horse St,13
11,4,E06000025,371080,0,282,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,4,21,E,49,10/16/2007,2007,181850,3,5,205,A432,373410,0,PU,372500,0,182520,B4060 Horse St,14
4,1,E06000025,371080,4,370,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,4,25,E,50,10/16/2007,2007,181850,2,7,292,A432,373410,3,PU,372500,1,182520,B4060 Horse St,15
8,5,E06000025,371080,2,152,South West,B4060 Station Rd,181750,South Gloucestershire,0,78068,0,18,E,43,10/16/2007,2007,181850,3,5,83,A432,373410,3,PU,372500,0,182520,B4060 Horse St,16
4,4,E06000025,371080,4,95,South West,B4060 Station Rd,181750,South Gloucestershire,0,78068,2,13,E,35,10/16/2007,2007,181850,4,3,39,A432,373410,0,PU,372500,0,182520,B4060 Horse St,17
9,3,E06000025,371080,1,291,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,3,15,E,20,10/16/2007,2007,181850,2,0,251,A432,373410,0,PU,372500,0,182520,B4060 Horse St,18
6,7,E06000025,371080,4,251,South West,B4060 Station Rd,181750,South Gloucestershire,0,78068,4,19,W,35,10/16/2007,2007,181850,0,4,190,A432,373410,1,PU,372500,0,182520,B4060 Horse St,7
9,4,E06000025,371080,6,511,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,4,31,W,45,10/16/2007,2007,181850,4,9,427,A432,373410,2,PU,372500,0,182520,B4060 Horse St,8
5,7,E06000025,371080,1,461,South West,B4060 Station Rd,181750,South Gloucestershire,1,78068,3,16,W,56,10/16/2007,2007,181850,4,5,378,A432,373410,1,PU,372500,1,182520,B4060 Horse St,9
12,3,E06000025,371080,0,324,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,6,28,W,42,10/16/2007,2007,181850,0,6,251,A432,373410,2,PU,372500,0,182520,B4060 Horse St,10
14,4,E06000025,371080,1,304,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,2,28,W,44,10/16/2007,2007,181850,1,7,227,A432,373410,1,PU,372500,1,182520,B4060 Horse St,11
10,3,E06000025,371080,0,327,South West,B4060 Station Rd,181750,South Gloucestershire,0,78068,2,17,W,54,10/16/2007,2007,181850,2,5,251,A432,373410,0,PU,372500,0,182520,B4060 Horse St,12
16,2,E06000025,371080,1,305,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,2,29,W,40,10/16/2007,2007,181850,0,7,234,A432,373410,1,PU,372500,2,182520,B4060 Horse St,13
23,7,E06000025,371080,3,372,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,5,45,W,50,10/16/2007,2007,181850,2,8,268,A432,373410,3,PU,372500,0,182520,B4060 Horse St,14
17,8,E06000025,371080,3,502,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,2,34,W,83,10/16/2007,2007,181850,3,5,374,A432,373410,5,PU,372500,0,182520,B4060 Horse St,15
7,8,E06000025,371080,3,518,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,5,29,W,97,10/16/2007,2007,181850,3,8,381,A432,373410,4,PU,372500,1,182520,B4060 Horse St,16
12,4,E06000025,371080,0,456,South West,B4060 Station Rd,181750,South Gloucestershire,3,78068,0,19,W,76,10/16/2007,2007,181850,4,3,353,A432,373410,1,PU,372500,0,182520,B4060 Horse St,17
19,2,E06000025,371080,2,465,South West,B4060 Station Rd,181750,South Gloucestershire,2,78068,3,31,W,47,10/16/2007,2007,181850,2,5,383,A432,373410,0,PU,372500,0,182520,B4060 Horse St,18
