HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
2,4,E06000025,0,449,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,2,N,39,3/24/2006,2006,182301,4,0,400,U,0,UU,361306,1,Brook Way,7
1,7,E06000025,1,460,South West,north of Cornfield Close,South Gloucestershire,1,952441,0,4,N,34,3/24/2006,2006,182301,6,0,409,U,1,UU,361306,6,Brook Way,8
4,6,E06000025,0,306,South West,north of Cornfield Close,South Gloucestershire,1,952441,0,5,N,31,3/24/2006,2006,182301,1,0,263,U,0,UU,361306,1,Brook Way,9
3,7,E06000025,0,274,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,3,N,31,3/24/2006,2006,182301,4,0,229,U,0,UU,361306,1,Brook Way,10
4,6,E06000025,0,297,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,7,N,31,3/24/2006,2006,182301,1,2,252,U,1,UU,361306,1,Brook Way,11
5,4,E06000025,0,383,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,6,N,31,3/24/2006,2006,182301,0,0,342,U,1,UU,361306,1,Brook Way,12
2,8,E06000025,1,489,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,3,N,44,3/24/2006,2006,182301,7,0,427,U,0,UU,361306,4,Brook Way,13
5,5,E06000025,0,376,South West,north of Cornfield Close,South Gloucestershire,1,952441,0,7,N,45,3/24/2006,2006,182301,0,0,319,U,1,UU,361306,1,Brook Way,14
1,4,E06000025,0,363,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,2,N,31,3/24/2006,2006,182301,1,0,325,U,1,UU,361306,5,Brook Way,15
2,8,E06000025,0,421,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,3,N,40,3/24/2006,2006,182301,2,0,368,U,1,UU,361306,7,Brook Way,16
1,9,E06000025,0,517,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,1,N,22,3/24/2006,2006,182301,1,0,484,U,0,UU,361306,7,Brook Way,17
1,3,E06000025,0,489,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,1,N,32,3/24/2006,2006,182301,3,0,450,U,0,UU,361306,0,Brook Way,18
3,9,E06000025,0,185,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,3,S,40,3/24/2006,2006,182301,3,0,130,U,0,UU,361306,6,Brook Way,7
4,7,E06000025,0,342,South West,north of Cornfield Close,South Gloucestershire,1,952441,0,6,S,28,3/24/2006,2006,182301,2,0,299,U,1,UU,361306,5,Brook Way,8
5,9,E06000025,1,254,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,6,S,32,3/24/2006,2006,182301,1,0,206,U,0,UU,361306,2,Brook Way,9
3,7,E06000025,0,248,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,4,S,38,3/24/2006,2006,182301,3,0,196,U,1,UU,361306,0,Brook Way,10
5,6,E06000025,0,260,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,6,S,31,3/24/2006,2006,182301,2,1,215,U,0,UU,361306,1,Brook Way,11
4,6,E06000025,0,392,South West,north of Cornfield Close,South Gloucestershire,1,952441,0,7,S,40,3/24/2006,2006,182301,1,0,338,U,2,UU,361306,0,Brook Way,12
3,6,E06000025,1,424,South West,north of Cornfield Close,South Gloucestershire,0,952441,1,7,S,40,3/24/2006,2006,182301,3,0,368,U,2,UU,361306,4,Brook Way,13
5,7,E06000025,0,385,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,5,S,29,3/24/2006,2006,182301,3,0,341,U,0,UU,361306,1,Brook Way,14
0,7,E06000025,1,468,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,1,S,43,3/24/2006,2006,182301,6,0,411,U,0,UU,361306,3,Brook Way,15
2,8,E06000025,0,482,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,2,S,36,3/24/2006,2006,182301,3,0,433,U,0,UU,361306,5,Brook Way,16
2,5,E06000025,0,510,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,2,S,18,3/24/2006,2006,182301,2,0,483,U,0,UU,361306,1,Brook Way,17
0,4,E06000025,0,395,South West,north of Cornfield Close,South Gloucestershire,0,952441,0,0,S,14,3/24/2006,2006,182301,6,0,371,U,0,UU,361306,4,Brook Way,18
