HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
135,4,E06000025,,375767,25,3586,South West,,Junction 18 M4,180030,South Gloucestershire,22,18498,110,422,E,627,4/21/2005,2005,178550,16,104,2517,M4,381800,26,TM,378000,0,178163,LA Boundary,7
111,17,E06000025,,375767,14,3495,South West,,Junction 18 M4,180030,South Gloucestershire,26,18498,71,356,E,453,4/21/2005,2005,178550,9,102,2660,M4,381800,32,TM,378000,0,178163,LA Boundary,8
123,14,E06000025,,375767,21,2624,South West,,Junction 18 M4,180030,South Gloucestershire,27,18498,78,404,E,351,4/21/2005,2005,178550,5,133,1850,M4,381800,22,TM,378000,0,178163,LA Boundary,9
118,17,E06000025,,375767,27,2215,South West,,Junction 18 M4,180030,South Gloucestershire,37,18498,98,433,E,298,4/21/2005,2005,178550,5,136,1462,M4,381800,17,TM,378000,0,178163,LA Boundary,10
91,10,E06000025,,375767,10,2115,South West,,Junction 18 M4,180030,South Gloucestershire,37,18498,106,410,E,281,4/21/2005,2005,178550,5,154,1409,M4,381800,12,TM,378000,0,178163,LA Boundary,11
95,6,E06000025,,375767,17,2124,South West,,Junction 18 M4,180030,South Gloucestershire,28,18498,60,389,E,242,4/21/2005,2005,178550,9,162,1478,M4,381800,27,TM,378000,0,178163,LA Boundary,12
99,8,E06000025,,375767,10,2346,South West,,Junction 18 M4,180030,South Gloucestershire,43,18498,95,405,E,297,4/21/2005,2005,178550,7,143,1629,M4,381800,15,TM,378000,0,178163,LA Boundary,13
86,7,E06000025,,375767,14,2414,South West,,Junction 18 M4,180030,South Gloucestershire,29,18498,87,370,E,285,4/21/2005,2005,178550,10,144,1742,M4,381800,10,TM,378000,0,178163,LA Boundary,14
91,12,E06000025,,375767,6,2636,South West,,Junction 18 M4,180030,South Gloucestershire,33,18498,85,365,E,285,4/21/2005,2005,178550,13,141,1961,M4,381800,9,TM,378000,0,178163,LA Boundary,15
65,14,E06000025,,375767,12,3104,South West,,Junction 18 M4,180030,South Gloucestershire,35,18498,65,316,E,268,4/21/2005,2005,178550,14,133,2492,M4,381800,6,TM,378000,0,178163,LA Boundary,16
46,8,E06000025,,375767,3,2791,South West,,Junction 18 M4,180030,South Gloucestershire,20,18498,79,277,E,193,4/21/2005,2005,178550,10,125,2303,M4,381800,4,TM,378000,0,178163,LA Boundary,17
62,6,E06000025,,375767,3,2591,South West,,Junction 18 M4,180030,South Gloucestershire,26,18498,84,284,E,131,4/21/2005,2005,178550,8,105,2162,M4,381800,4,TM,378000,0,178163,LA Boundary,18
109,2,E06000025,,375767,10,2757,South West,,Junction 18 M4,180030,South Gloucestershire,26,18498,88,371,W,370,4/21/2005,2005,178550,8,125,2006,M4,381800,13,TM,378000,0,178163,LA Boundary,7
74,1,E06000025,,375767,13,3010,South West,,Junction 18 M4,180030,South Gloucestershire,30,18498,91,364,W,240,4/21/2005,2005,178550,8,141,2397,M4,381800,15,TM,378000,0,178163,LA Boundary,8
91,7,E06000025,,375767,27,2568,South West,,Junction 18 M4,180030,South Gloucestershire,15,18498,63,350,W,270,4/21/2005,2005,178550,2,135,1939,M4,381800,19,TM,378000,0,178163,LA Boundary,9
93,10,E06000025,,375767,13,2242,South West,,Junction 18 M4,180030,South Gloucestershire,18,18498,67,345,W,241,4/21/2005,2005,178550,6,134,1640,M4,381800,20,TM,378000,0,178163,LA Boundary,10
119,9,E06000025,,375767,11,2225,South West,,Junction 18 M4,180030,South Gloucestershire,22,18498,74,380,W,260,4/21/2005,2005,178550,7,123,1569,M4,381800,31,TM,378000,0,178163,LA Boundary,11
119,16,E06000025,,375767,19,2186,South West,,Junction 18 M4,180030,South Gloucestershire,28,18498,71,371,W,287,4/21/2005,2005,178550,7,121,1505,M4,381800,13,TM,378000,0,178163,LA Boundary,12
