dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,S Ref E,A-Junction,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
3/13/2009,0,0,CR,,,,0,0,164,South Gloucestershire,,E06000025,919476,0,7,1,,N,0,2,368399,,174362,C,,0,South West,Siston Lane,0,38,204,2009
3/13/2009,0,0,CR,,,,0,0,177,South Gloucestershire,,E06000025,919476,2,8,0,,N,2,1,368399,,174362,C,,0,South West,Siston Lane,0,31,211,2009
3/13/2009,0,0,CR,,,,0,0,79,South Gloucestershire,,E06000025,919476,0,9,1,,N,0,0,368399,,174362,C,,0,South West,Siston Lane,0,13,92,2009
3/13/2009,0,0,CR,,,,0,0,85,South Gloucestershire,,E06000025,919476,0,10,1,,N,0,0,368399,,174362,C,,0,South West,Siston Lane,0,29,114,2009
3/13/2009,0,0,CR,,,,0,0,101,South Gloucestershire,,E06000025,919476,0,11,0,,N,0,0,368399,,174362,C,,0,South West,Siston Lane,0,20,121,2009
3/13/2009,0,0,CR,,,,3,0,102,South Gloucestershire,,E06000025,919476,0,12,2,,N,0,0,368399,,174362,C,,0,South West,Siston Lane,0,22,127,2009
3/13/2009,0,0,CR,,,,3,0,81,South Gloucestershire,,E06000025,919476,2,13,1,,N,2,0,368399,,174362,C,,0,South West,Siston Lane,0,23,109,2009
3/13/2009,1,0,CR,,,,0,0,100,South Gloucestershire,,E06000025,919476,1,14,0,,N,0,2,368399,,174362,C,,0,South West,Siston Lane,0,23,126,2009
3/13/2009,0,0,CR,,,,5,0,73,South Gloucestershire,,E06000025,919476,3,15,0,,N,3,1,368399,,174362,C,,0,South West,Siston Lane,0,22,104,2009
3/13/2009,0,0,CR,,,,5,0,125,South Gloucestershire,,E06000025,919476,0,16,1,,N,0,2,368399,,174362,C,,0,South West,Siston Lane,0,24,156,2009
3/13/2009,0,0,CR,,,,0,0,109,South Gloucestershire,,E06000025,919476,0,17,1,,N,0,0,368399,,174362,C,,0,South West,Siston Lane,0,21,130,2009
3/13/2009,0,0,CR,,,,1,0,75,South Gloucestershire,,E06000025,919476,1,18,0,,N,1,0,368399,,174362,C,,0,South West,Siston Lane,0,11,88,2009
3/13/2009,0,0,CR,,,,0,0,73,South Gloucestershire,,E06000025,919476,1,7,2,,S,1,1,368399,,174362,C,,0,South West,Siston Lane,0,22,97,2009
3/13/2009,1,0,CR,,,,4,0,99,South Gloucestershire,,E06000025,919476,1,8,0,,S,0,2,368399,,174362,C,,0,South West,Siston Lane,0,32,138,2009
3/13/2009,0,0,CR,,,,0,0,64,South Gloucestershire,,E06000025,919476,2,9,1,,S,2,1,368399,,174362,C,,0,South West,Siston Lane,0,16,83,2009
