dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,A-Junction,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
7/6/2012,9,4,PU,177900,354570,352180,9,14,571,"Bristol, City of",176620,E06000023,56122,80,7,2,A403,E,33,16,A4162,354064,176826,A4,,8,South West,,12,148,824,2012
7/6/2012,8,4,PU,177900,354570,352180,11,8,606,"Bristol, City of",176620,E06000023,56122,78,8,4,A403,E,43,7,A4162,354064,176826,A4,,7,South West,,8,118,820,2012
7/6/2012,11,5,PU,177900,354570,352180,5,10,484,"Bristol, City of",176620,E06000023,56122,83,9,2,A403,E,36,10,A4162,354064,176826,A4,,12,South West,,9,116,698,2012
7/6/2012,9,4,PU,177900,354570,352180,1,15,396,"Bristol, City of",176620,E06000023,56122,74,10,1,A403,E,24,11,A4162,354064,176826,A4,,9,South West,,13,110,592,2012
7/6/2012,13,2,PU,177900,354570,352180,3,9,441,"Bristol, City of",176620,E06000023,56122,69,11,2,A403,E,25,6,A4162,354064,176826,A4,,8,South West,,12,143,662,2012
7/6/2012,6,2,PU,177900,354570,352180,2,13,464,"Bristol, City of",176620,E06000023,56122,64,12,1,A403,E,28,7,A4162,354064,176826,A4,,9,South West,,6,110,647,2012
7/6/2012,6,6,PU,177900,354570,352180,8,13,548,"Bristol, City of",176620,E06000023,56122,71,13,3,A403,E,29,5,A4162,354064,176826,A4,,2,South West,,15,127,759,2012
7/6/2012,8,0,PU,177900,354570,352180,6,14,566,"Bristol, City of",176620,E06000023,56122,60,14,0,A403,E,25,12,A4162,354064,176826,A4,,2,South West,,11,121,765,2012
7/6/2012,15,0,PU,177900,354570,352180,4,14,636,"Bristol, City of",176620,E06000023,56122,56,15,3,A403,E,21,15,A4162,354064,176826,A4,,2,South West,,4,109,820,2012
7/6/2012,7,2,PU,177900,354570,352180,8,3,608,"Bristol, City of",176620,E06000023,56122,28,16,4,A403,E,6,8,A4162,354064,176826,A4,,4,South West,,6,96,748,2012
7/6/2012,2,2,PU,177900,354570,352180,26,0,782,"Bristol, City of",176620,E06000023,56122,17,17,6,A403,E,8,8,A4162,354064,176826,A4,,1,South West,,4,78,911,2012
7/6/2012,2,0,PU,177900,354570,352180,9,1,573,"Bristol, City of",176620,E06000023,56122,14,18,1,A403,E,5,9,A4162,354064,176826,A4,,1,South West,,5,52,657,2012
7/6/2012,6,1,PU,177900,354570,352180,14,23,641,"Bristol, City of",176620,E06000023,56122,61,7,3,A403,W,17,9,A4162,354064,176826,A4,,3,South West,,11,144,869,2012
7/6/2012,6,1,PU,177900,354570,352180,11,12,717,"Bristol, City of",176620,E06000023,56122,64,8,5,A403,W,26,12,A4162,354064,176826,A4,,5,South West,,14,127,931,2012
7/6/2012,9,3,PU,177900,354570,352180,7,12,397,"Bristol, City of",176620,E06000023,56122,85,9,0,A403,W,32,14,A4162,354064,176826,A4,,14,South West,,15,105,608,2012
