dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,A-Junction,S Ref E,S Ref N,Road,HGVA6,Region Name (GO),HGVA5,LGV,AMV,Year
11/5/2004,0,0,PR,161884,366380,362468,2,2,194,Bath and North East Somerset,162120,E06000022,57032,6,7,0,A39,E,4,1,A37,365000,161630,A368,0,South West,0,29,232,2004
11/5/2004,1,0,PR,161884,366380,362468,2,0,254,Bath and North East Somerset,162120,E06000022,57032,15,8,0,A39,E,14,3,A37,365000,161630,A368,0,South West,0,40,314,2004
11/5/2004,0,0,PR,161884,366380,362468,0,0,180,Bath and North East Somerset,162120,E06000022,57032,5,9,0,A39,E,5,2,A37,365000,161630,A368,0,South West,0,28,215,2004
11/5/2004,0,0,PR,161884,366380,362468,0,0,151,Bath and North East Somerset,162120,E06000022,57032,6,10,0,A39,E,4,0,A37,365000,161630,A368,2,South West,0,25,182,2004
11/5/2004,2,0,PR,161884,366380,362468,1,0,119,Bath and North East Somerset,162120,E06000022,57032,8,11,1,A39,E,4,0,A37,365000,161630,A368,2,South West,0,31,159,2004
11/5/2004,2,0,PR,161884,366380,362468,0,0,99,Bath and North East Somerset,162120,E06000022,57032,11,12,1,A39,E,8,2,A37,365000,161630,A368,0,South West,1,20,132,2004
11/5/2004,1,0,PR,161884,366380,362468,8,0,122,Bath and North East Somerset,162120,E06000022,57032,7,13,0,A39,E,6,0,A37,365000,161630,A368,0,South West,0,21,158,2004
11/5/2004,0,0,PR,161884,366380,362468,2,1,138,Bath and North East Somerset,162120,E06000022,57032,5,14,1,A39,E,4,1,A37,365000,161630,A368,0,South West,0,26,172,2004
11/5/2004,0,0,PR,161884,366380,362468,5,0,174,Bath and North East Somerset,162120,E06000022,57032,7,15,0,A39,E,7,2,A37,365000,161630,A368,0,South West,0,32,220,2004
11/5/2004,2,0,PR,161884,366380,362468,4,0,216,Bath and North East Somerset,162120,E06000022,57032,6,16,0,A39,E,2,3,A37,365000,161630,A368,2,South West,0,36,265,2004
11/5/2004,2,0,PR,161884,366380,362468,1,0,247,Bath and North East Somerset,162120,E06000022,57032,3,17,0,A39,E,1,1,A37,365000,161630,A368,0,South West,0,29,281,2004
11/5/2004,1,0,PR,161884,366380,362468,1,0,142,Bath and North East Somerset,162120,E06000022,57032,1,18,0,A39,E,0,0,A37,365000,161630,A368,0,South West,0,6,150,2004
11/5/2004,1,0,PR,161884,366380,362468,2,2,162,Bath and North East Somerset,162120,E06000022,57032,5,7,0,A39,W,2,3,A37,365000,161630,A368,0,South West,0,28,200,2004
11/5/2004,0,0,PR,161884,366380,362468,5,1,197,Bath and North East Somerset,162120,E06000022,57032,9,8,0,A39,W,7,4,A37,365000,161630,A368,0,South West,1,20,235,2004
11/5/2004,0,0,PR,161884,366380,362468,0,0,111,Bath and North East Somerset,162120,E06000022,57032,11,9,1,A39,W,11,0,A37,365000,161630,A368,0,South West,0,16,138,2004
11/5/2004,0,0,PR,161884,366380,362468,7,0,114,Bath and North East Somerset,162120,E06000022,57032,7,10,0,A39,W,7,0,A37,365000,161630,A368,0,South West,0,23,151,2004
11/5/2004,0,0,PR,161884,366380,362468,4,1,120,Bath and North East Somerset,162120,E06000022,57032,9,11,0,A39,W,7,1,A37,365000,161630,A368,1,South West,0,24,158,2004
11/5/2004,2,1,PR,161884,366380,362468,0,1,155,Bath and North East Somerset,162120,E06000022,57032,9,12,0,A39,W,4,0,A37,365000,161630,A368,1,South West,0,25,189,2004
11/5/2004,0,0,PR,161884,366380,362468,2,0,146,Bath and North East Somerset,162120,E06000022,57032,5,13,0,A39,W,4,1,A37,365000,161630,A368,1,South West,0,17,171,2004
11/5/2004,0,1,PR,161884,366380,362468,2,0,168,Bath and North East Somerset,162120,E06000022,57032,7,14,0,A39,W,4,0,A37,365000,161630,A368,2,South West,0,26,203,2004
11/5/2004,0,1,PR,161884,366380,362468,1,2,215,Bath and North East Somerset,162120,E06000022,57032,5,15,0,A39,W,2,2,A37,365000,161630,A368,0,South West,0,31,254,2004
11/5/2004,0,0,PR,161884,366380,362468,1,0,230,Bath and North East Somerset,162120,E06000022,57032,3,16,0,A39,W,2,1,A37,365000,161630,A368,1,South West,0,28,263,2004
11/5/2004,0,0,PR,161884,366380,362468,4,0,225,Bath and North East Somerset,162120,E06000022,57032,6,17,0,A39,W,3,0,A37,365000,161630,A368,2,South West,1,19,254,2004
11/5/2004,0,1,PR,161884,366380,362468,0,0,172,Bath and North East Somerset,162120,E06000022,57032,2,18,0,A39,W,0,0,A37,365000,161630,A368,1,South West,0,4,178,2004
