dCount,HGVR3,HGVA3,RCat,2WMV,HGVR4,CAR,ONS LA Name,ONS LACode,CP,HGV,Hour,PC,iDir,HGVR2,BUS,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
11/24/2005,0,0,BU,5,0,255,South Gloucestershire,E06000025,990071,2,7,2,N,2,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,26,293,2005
11/24/2005,0,1,BU,11,0,328,South Gloucestershire,E06000025,990071,4,8,3,N,3,8,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,37,388,2005
11/24/2005,2,0,BU,0,0,238,South Gloucestershire,E06000025,990071,4,9,1,N,2,10,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,22,274,2005
11/24/2005,0,0,BU,2,0,217,South Gloucestershire,E06000025,990071,3,10,0,N,3,7,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,24,253,2005
11/24/2005,0,0,BU,0,0,194,South Gloucestershire,E06000025,990071,3,11,1,N,3,7,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,14,218,2005
11/24/2005,1,0,BU,1,0,226,South Gloucestershire,E06000025,990071,1,12,0,N,0,6,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,36,270,2005
11/24/2005,0,1,BU,0,0,178,South Gloucestershire,E06000025,990071,4,13,0,N,2,6,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,1,23,211,2005
11/24/2005,0,0,BU,1,0,236,South Gloucestershire,E06000025,990071,0,14,1,N,0,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,27,269,2005
11/24/2005,0,0,BU,4,0,334,South Gloucestershire,E06000025,990071,0,15,2,N,0,11,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,26,375,2005
11/24/2005,0,0,BU,3,0,353,South Gloucestershire,E06000025,990071,1,16,2,N,1,4,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,20,381,2005
11/24/2005,0,0,BU,2,0,297,South Gloucestershire,E06000025,990071,2,17,0,N,2,4,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,17,322,2005
11/24/2005,0,0,BU,0,0,252,South Gloucestershire,E06000025,990071,0,18,1,N,0,3,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,10,265,2005
11/24/2005,0,0,BU,3,0,142,South Gloucestershire,E06000025,990071,2,7,1,S,2,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,27,174,2005
11/24/2005,0,1,BU,3,0,401,South Gloucestershire,E06000025,990071,6,8,3,S,5,9,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,36,455,2005
11/24/2005,1,0,BU,0,0,318,South Gloucestershire,E06000025,990071,4,9,0,S,3,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,33,355,2005
11/24/2005,0,1,BU,1,0,242,South Gloucestershire,E06000025,990071,4,10,2,S,3,4,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,37,288,2005
11/24/2005,2,1,BU,1,0,328,South Gloucestershire,E06000025,990071,5,11,1,S,2,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,32,367,2005
11/24/2005,0,0,BU,1,0,247,South Gloucestershire,E06000025,990071,2,12,2,S,1,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,1,35,287,2005
11/24/2005,0,0,BU,2,0,301,South Gloucestershire,E06000025,990071,1,13,0,S,1,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,22,327,2005
11/24/2005,0,0,BU,0,0,366,South Gloucestershire,E06000025,990071,1,14,4,S,1,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,34,403,2005
11/24/2005,0,0,BU,3,0,374,South Gloucestershire,E06000025,990071,0,15,2,S,0,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,36,415,2005
11/24/2005,0,0,BU,3,0,309,South Gloucestershire,E06000025,990071,2,16,2,S,2,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,32,348,2005
11/24/2005,0,0,BU,5,0,401,South Gloucestershire,E06000025,990071,3,17,3,S,3,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,27,436,2005
11/24/2005,0,0,BU,3,0,414,South Gloucestershire,E06000025,990071,0,18,1,S,0,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,24,441,2005
