HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
33,South West,E06000023,178100,339,"Bristol, City of",92,205,Junction 18 M5,TM,6,5,5/16/2006,128,352952,1209,11,26,E,merge of feeder roads,0,654,352500,2006,53,178032,178100,,,352600,26021,M5,7
20,South West,E06000023,178100,384,"Bristol, City of",150,211,Junction 18 M5,TM,8,5,5/16/2006,141,352952,1284,11,34,W,merge of feeder roads,0,676,352500,2006,20,178032,178100,,,352600,26021,M5,19
11,South West,E06000023,176826,75,"Bristol, City of",11,104,A4162,PU,9,5,5/16/2006,30,352180,556,11,6,E,A403,5,363,354570,2006,12,177900,176620,,,354064,56122,A4,5
12,South West,E06000023,176826,90,"Bristol, City of",9,104,A4162,PU,9,5,5/16/2006,34,352180,627,11,11,W,A403,6,419,354570,2006,19,177900,176620,,,354064,56122,A4,5
19,South West,E06000023,178500,216,"Bristol, City of",45,166,A403,TU,0,5,5/16/2006,76,351640,666,11,18,E,M5,0,279,352060,2006,43,178510,178380,,,351770,70104,A4,15
24,South West,E06000023,178500,259,"Bristol, City of",42,193,A403,TU,0,5,5/16/2006,84,351640,719,11,28,W,M5,1,262,352060,2006,57,178510,178380,,,351770,70104,A4,24
9,South West,E06000023,178000,72,"Bristol, City of",6,129,M5,PU,0,2,5/16/2006,35,352060,394,11,8,N,M5,1,191,352180,2006,10,178380,177900,,,352140,70105,A4,4
3,South West,E06000023,178000,50,"Bristol, City of",7,112,M5,PU,0,4,5/16/2006,31,352060,371,11,5,S,M5,0,205,352180,2006,3,178380,177900,,,352140,70105,A4,1
0,South West,E06000022,164204,2,Bath and North East Somerset,0,17,,CU,12,1,5/16/2006,2,,180,11,0,E,,2,148,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
0,South West,E06000022,164204,2,Bath and North East Somerset,0,19,,CU,10,0,5/16/2006,2,,166,11,0,W,,0,135,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
