HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
4,9,E06000023,362360,1,333,South West,A431,173934,"Bristol, City of",1,17057,0,6,E,54,3/12/2010,2010,173850,8,0,256,A420,364349,0,PU,364000,6,173630,A4017,7
12,11,E06000023,362360,0,428,South West,A431,173934,"Bristol, City of",0,17057,0,14,E,72,3/12/2010,2010,173850,4,1,327,A420,364349,1,PU,364000,7,173630,A4017,8
11,11,E06000023,362360,2,403,South West,A431,173934,"Bristol, City of",0,17057,0,14,E,77,3/12/2010,2010,173850,3,0,298,A420,364349,1,PU,364000,4,173630,A4017,9
9,9,E06000023,362360,0,380,South West,A431,173934,"Bristol, City of",0,17057,0,13,E,65,3/12/2010,2010,173850,1,1,292,A420,364349,3,PU,364000,2,173630,A4017,10
11,10,E06000023,362360,2,429,South West,A431,173934,"Bristol, City of",0,17057,0,16,E,90,3/12/2010,2010,173850,0,0,313,A420,364349,3,PU,364000,2,173630,A4017,11
6,8,E06000023,362360,0,382,South West,A431,173934,"Bristol, City of",0,17057,0,9,E,67,3/12/2010,2010,173850,2,1,296,A420,364349,2,PU,364000,5,173630,A4017,12
8,7,E06000023,362360,0,414,South West,A431,173934,"Bristol, City of",1,17057,1,11,E,62,3/12/2010,2010,173850,4,0,330,A420,364349,1,PU,364000,3,173630,A4017,13
6,7,E06000023,362360,0,427,South West,A431,173934,"Bristol, City of",0,17057,1,8,E,90,3/12/2010,2010,173850,7,0,315,A420,364349,1,PU,364000,3,173630,A4017,14
6,9,E06000023,362360,0,373,South West,A431,173934,"Bristol, City of",0,17057,0,6,E,66,3/12/2010,2010,173850,8,0,284,A420,364349,0,PU,364000,2,173630,A4017,15
6,7,E06000023,362360,0,511,South West,A431,173934,"Bristol, City of",0,17057,0,7,E,77,3/12/2010,2010,173850,9,0,411,A420,364349,1,PU,364000,7,173630,A4017,16
2,10,E06000023,362360,0,501,South West,A431,173934,"Bristol, City of",0,17057,0,3,E,65,3/12/2010,2010,173850,12,0,411,A420,364349,1,PU,364000,4,173630,A4017,17
1,8,E06000023,362360,0,395,South West,A431,173934,"Bristol, City of",0,17057,0,1,E,44,3/12/2010,2010,173850,6,0,336,A420,364349,0,PU,364000,5,173630,A4017,18
0,9,E06000023,362360,0,437,South West,A431,173934,"Bristol, City of",6,17057,0,6,W,86,3/12/2010,2010,173850,6,0,330,A420,364349,0,PU,364000,16,173630,A4017,7
0,8,E06000023,362360,0,506,South West,A431,173934,"Bristol, City of",7,17057,2,9,W,78,3/12/2010,2010,173850,10,0,401,A420,364349,0,PU,364000,14,173630,A4017,8
0,8,E06000023,362360,0,409,South West,A431,173934,"Bristol, City of",9,17057,2,12,W,76,3/12/2010,2010,173850,1,1,312,A420,364349,0,PU,364000,4,173630,A4017,9
0,14,E06000023,362360,0,430,South West,A431,173934,"Bristol, City of",10,17057,2,13,W,99,3/12/2010,2010,173850,4,1,300,A420,364349,0,PU,364000,1,173630,A4017,10
0,7,E06000023,362360,0,466,South West,A431,173934,"Bristol, City of",13,17057,0,15,W,86,3/12/2010,2010,173850,3,2,355,A420,364349,0,PU,364000,5,173630,A4017,11
0,8,E06000023,362360,0,485,South West,A431,173934,"Bristol, City of",8,17057,1,12,W,77,3/12/2010,2010,173850,10,3,378,A420,364349,0,PU,364000,4,173630,A4017,12
0,7,E06000023,362360,0,389,South West,A431,173934,"Bristol, City of",13,17057,0,14,W,64,3/12/2010,2010,173850,5,1,299,A420,364349,0,PU,364000,2,173630,A4017,13
0,9,E06000023,362360,0,404,South West,A431,173934,"Bristol, City of",21,17057,0,23,W,72,3/12/2010,2010,173850,4,2,296,A420,364349,0,PU,364000,7,173630,A4017,14
0,9,E06000023,362360,0,389,South West,A431,173934,"Bristol, City of",15,17057,0,16,W,69,3/12/2010,2010,173850,5,1,290,A420,364349,0,PU,364000,2,173630,A4017,15
0,10,E06000023,362360,0,492,South West,A431,173934,"Bristol, City of",11,17057,0,11,W,67,3/12/2010,2010,173850,12,0,392,A420,364349,0,PU,364000,5,173630,A4017,16
0,11,E06000023,362360,0,454,South West,A431,173934,"Bristol, City of",6,17057,0,7,W,48,3/12/2010,2010,173850,9,1,379,A420,364349,0,PU,364000,9,173630,A4017,17
0,6,E06000023,362360,0,267,South West,A431,173934,"Bristol, City of",1,17057,0,1,W,21,3/12/2010,2010,173850,3,0,236,A420,364349,0,PU,364000,5,173630,A4017,18
