HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
6,5,E06000025,0,395,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,7,N,48,5/13/2013,2013,188491,3,0,332,B4061,1,BU,363505,5,ALVESTON HILL,7
4,9,E06000025,1,768,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,5,N,46,5/13/2013,2013,188491,11,0,697,B4061,0,BU,363505,6,ALVESTON HILL,8
7,5,E06000025,0,557,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,7,N,86,5/13/2013,2013,188491,2,0,457,B4061,0,BU,363505,0,ALVESTON HILL,9
9,4,E06000025,0,469,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,11,N,53,5/13/2013,2013,188491,2,1,399,B4061,1,BU,363505,2,ALVESTON HILL,10
6,3,E06000025,0,461,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,7,N,56,5/13/2013,2013,188491,3,0,392,B4061,1,BU,363505,0,ALVESTON HILL,11
2,3,E06000025,0,332,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,2,N,39,5/13/2013,2013,188491,1,0,287,B4061,0,BU,363505,2,ALVESTON HILL,12
4,3,E06000025,0,337,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,4,N,48,5/13/2013,2013,188491,0,0,282,B4061,0,BU,363505,0,ALVESTON HILL,13
2,3,E06000025,0,499,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,3,N,50,5/13/2013,2013,188491,3,0,440,B4061,1,BU,363505,2,ALVESTON HILL,14
6,11,E06000025,0,594,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,6,N,55,5/13/2013,2013,188491,5,0,517,B4061,0,BU,363505,3,ALVESTON HILL,15
2,6,E06000025,0,615,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,2,N,70,5/13/2013,2013,188491,5,0,532,B4061,0,BU,363505,8,ALVESTON HILL,16
0,7,E06000025,0,676,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,0,N,54,5/13/2013,2013,188491,6,0,609,B4061,0,BU,363505,10,ALVESTON HILL,17
4,2,E06000025,0,560,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,4,N,44,5/13/2013,2013,188491,7,0,503,B4061,0,BU,363505,6,ALVESTON HILL,18
1,4,E06000025,0,487,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,1,S,40,5/13/2013,2013,188491,11,0,431,B4061,0,BU,363505,13,ALVESTON HILL,7
10,10,E06000025,1,551,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,1,947494,1,13,S,47,5/13/2013,2013,188491,6,0,475,B4061,0,BU,363505,5,ALVESTON HILL,8
9,4,E06000025,0,430,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,1,10,S,62,5/13/2013,2013,188491,2,0,352,B4061,0,BU,363505,5,ALVESTON HILL,9
7,4,E06000025,0,480,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,9,S,51,5/13/2013,2013,188491,1,1,415,B4061,1,BU,363505,1,ALVESTON HILL,10
6,3,E06000025,0,459,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,1,947494,0,8,S,55,5/13/2013,2013,188491,2,0,391,B4061,1,BU,363505,2,ALVESTON HILL,11
4,4,E06000025,1,520,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,5,S,45,5/13/2013,2013,188491,8,0,458,B4061,0,BU,363505,3,ALVESTON HILL,12
2,4,E06000025,0,460,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,2,S,56,5/13/2013,2013,188491,2,0,396,B4061,0,BU,363505,1,ALVESTON HILL,13
6,4,E06000025,0,477,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,7,S,56,5/13/2013,2013,188491,2,0,408,B4061,1,BU,363505,2,ALVESTON HILL,14
5,8,E06000025,0,577,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,1,6,S,48,5/13/2013,2013,188491,3,0,512,B4061,0,BU,363505,3,ALVESTON HILL,15
1,6,E06000025,0,548,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,2,S,51,5/13/2013,2013,188491,4,0,485,B4061,1,BU,363505,4,ALVESTON HILL,16
1,3,E06000025,0,720,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,1,S,47,5/13/2013,2013,188491,8,0,661,B4061,0,BU,363505,9,ALVESTON HILL,17
0,5,E06000025,0,462,South West,"north of Old Gloucester Road, Alveston",South Gloucestershire,0,947494,0,0,S,40,5/13/2013,2013,188491,6,0,411,B4061,0,BU,363505,5,ALVESTON HILL,18
