HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
25,2,E06000022,,362935,4,701,South West,,A39,161884,Bath and North East Somerset,3,16354,4,52,N,99,7/7/2000,2000,160000,14,13,534,A37,362468,3,PR,361900,0,156853,A368,7
17,7,E06000022,,362935,1,635,South West,,A39,161884,Bath and North East Somerset,1,16354,3,39,N,79,7/7/2000,2000,160000,17,12,493,A37,362468,5,PR,361900,0,156853,A368,8
26,7,E06000022,,362935,4,418,South West,,A39,161884,Bath and North East Somerset,2,16354,7,61,N,46,7/7/2000,2000,160000,1,14,303,A37,362468,8,PR,361900,0,156853,A368,9
22,5,E06000022,,362935,2,384,South West,,A39,161884,Bath and North East Somerset,4,16354,7,49,N,59,7/7/2000,2000,160000,4,12,267,A37,362468,2,PR,361900,0,156853,A368,10
21,2,E06000022,,362935,0,363,South West,,A39,161884,Bath and North East Somerset,5,16354,3,41,N,62,7/7/2000,2000,160000,1,9,257,A37,362468,3,PR,361900,0,156853,A368,11
27,2,E06000022,,362935,4,410,South West,,A39,161884,Bath and North East Somerset,1,16354,5,55,N,58,7/7/2000,2000,160000,2,11,293,A37,362468,7,PR,361900,0,156853,A368,12
27,2,E06000022,,362935,0,380,South West,,A39,161884,Bath and North East Somerset,3,16354,14,53,N,60,7/7/2000,2000,160000,5,7,260,A37,362468,2,PR,361900,0,156853,A368,13
24,5,E06000022,,362935,3,414,South West,,A39,161884,Bath and North East Somerset,3,16354,11,53,N,83,7/7/2000,2000,160000,8,7,265,A37,362468,5,PR,361900,0,156853,A368,14
27,3,E06000022,,362935,1,408,South West,,A39,161884,Bath and North East Somerset,1,16354,8,51,N,66,7/7/2000,2000,160000,5,9,283,A37,362468,5,PR,361900,0,156853,A368,15
35,11,E06000022,,362935,2,446,South West,,A39,161884,Bath and North East Somerset,1,16354,6,54,N,72,7/7/2000,2000,160000,4,6,305,A37,362468,4,PR,361900,0,156853,A368,16
