dCount,HGVR3,HGVA3,RCat,2WMV,HGVR4,CAR,ONS LA Name,ONS LACode,CP,HGV,Hour,PC,iDir,HGVR2,BUS,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
1/12/2006,0,0,UU,0,0,18,"Bristol, City of",E06000023,979124,0,7,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,12,30,2006
1/12/2006,0,0,UU,0,0,33,"Bristol, City of",E06000023,979124,0,8,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,36,2006
1/12/2006,0,0,UU,0,0,16,"Bristol, City of",E06000023,979124,0,9,1,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,0,16,2006
1/12/2006,0,0,UU,0,0,22,"Bristol, City of",E06000023,979124,0,10,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,1,23,2006
1/12/2006,0,0,UU,1,0,28,"Bristol, City of",E06000023,979124,0,11,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,32,2006
1/12/2006,0,0,UU,2,0,35,"Bristol, City of",E06000023,979124,1,12,1,N,1,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,41,2006
1/12/2006,0,0,UU,0,0,29,"Bristol, City of",E06000023,979124,0,13,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,5,34,2006
1/12/2006,0,0,UU,0,0,32,"Bristol, City of",E06000023,979124,0,14,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,2,34,2006
1/12/2006,0,0,UU,1,0,49,"Bristol, City of",E06000023,979124,0,15,4,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,7,57,2006
1/12/2006,0,0,UU,1,0,42,"Bristol, City of",E06000023,979124,0,16,1,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,4,47,2006
1/12/2006,0,0,UU,2,0,38,"Bristol, City of",E06000023,979124,0,17,2,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,4,44,2006
1/12/2006,0,0,UU,0,0,31,"Bristol, City of",E06000023,979124,0,18,0,N,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,6,37,2006
1/12/2006,0,0,UU,0,0,17,"Bristol, City of",E06000023,979124,0,7,2,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,6,23,2006
1/12/2006,0,0,UU,0,0,42,"Bristol, City of",E06000023,979124,0,8,1,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,8,50,2006
1/12/2006,0,0,UU,0,0,24,"Bristol, City of",E06000023,979124,0,9,0,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,27,2006
1/12/2006,0,0,UU,0,0,12,"Bristol, City of",E06000023,979124,0,10,0,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,0,12,2006
1/12/2006,0,0,UU,0,0,16,"Bristol, City of",E06000023,979124,0,11,0,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,2,18,2006
1/12/2006,0,0,UU,0,0,15,"Bristol, City of",E06000023,979124,1,12,0,S,1,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,2,18,2006
1/12/2006,0,0,UU,0,0,11,"Bristol, City of",E06000023,979124,0,13,0,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,14,2006
1/12/2006,0,0,UU,0,0,15,"Bristol, City of",E06000023,979124,1,14,0,S,1,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,19,2006
1/12/2006,0,0,UU,0,0,30,"Bristol, City of",E06000023,979124,0,15,1,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,3,33,2006
1/12/2006,0,0,UU,0,0,16,"Bristol, City of",E06000023,979124,0,16,0,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,7,23,2006
1/12/2006,0,0,UU,0,0,16,"Bristol, City of",E06000023,979124,0,17,2,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,4,20,2006
1/12/2006,0,0,UU,1,0,23,"Bristol, City of",E06000023,979124,0,18,1,S,0,0,359399,170795,U,North of Wedmore Vale,0,South West,Wingfield Road,0,6,30,2006
