dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,S Ref E,A-Junction,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
4/30/2014,0,0,UU,,,,0,0,1,North Somerset,,E06000024,947274,0,7,1,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,3,4,2014
4/30/2014,0,0,UU,,,,0,0,7,North Somerset,,E06000024,947274,0,8,3,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,1,8,2014
4/30/2014,0,0,UU,,,,0,0,12,North Somerset,,E06000024,947274,0,9,0,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,1,13,2014
4/30/2014,0,0,UU,,,,0,0,9,North Somerset,,E06000024,947274,0,10,1,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,1,10,2014
4/30/2014,0,0,UU,,,,0,0,5,North Somerset,,E06000024,947274,0,11,2,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,1,6,2014
4/30/2014,0,0,UU,,,,0,0,20,North Somerset,,E06000024,947274,1,12,0,,E,1,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,6,27,2014
4/30/2014,0,0,UU,,,,0,0,15,North Somerset,,E06000024,947274,0,13,0,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,0,15,2014
4/30/2014,0,0,UU,,,,0,0,12,North Somerset,,E06000024,947274,0,14,0,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,2,14,2014
4/30/2014,0,0,UU,,,,0,0,24,North Somerset,,E06000024,947274,0,15,0,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,0,24,2014
4/30/2014,0,0,UU,,,,0,0,14,North Somerset,,E06000024,947274,0,16,0,,E,0,0,336428,,163167,U,"East of Becket Road, W-s-M",0,South West,CABOT WAY,0,2,16,2014
