dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,A-Junction,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
9/25/2006,0,3,PU,172750,357330,358510,15,1,798,"Bristol, City of",174840,E06000023,7617,17,7,60,A4176,E,12,23,A38,358020,173180,A4018,,0,South West,,1,86,939,2006
9/25/2006,2,3,PU,172750,357330,358510,28,2,886,"Bristol, City of",174840,E06000023,7617,24,8,153,A4176,E,16,35,A38,358020,173180,A4018,,1,South West,,0,66,1039,2006
9/25/2006,4,1,PU,172750,357330,358510,7,0,618,"Bristol, City of",174840,E06000023,7617,28,9,90,A4176,E,23,43,A38,358020,173180,A4018,,0,South West,,0,92,788,2006
9/25/2006,0,0,PU,172750,357330,358510,6,1,576,"Bristol, City of",174840,E06000023,7617,28,10,28,A4176,E,27,34,A38,358020,173180,A4018,,0,South West,,0,119,763,2006
9/25/2006,1,3,PU,172750,357330,358510,11,3,585,"Bristol, City of",174840,E06000023,7617,30,11,26,A4176,E,22,34,A38,358020,173180,A4018,,0,South West,,1,164,824,2006
9/25/2006,1,0,PU,172750,357330,358510,8,0,577,"Bristol, City of",174840,E06000023,7617,14,12,19,A4176,E,13,34,A38,358020,173180,A4018,,0,South West,,0,90,723,2006
9/25/2006,2,0,PU,172750,357330,358510,13,2,578,"Bristol, City of",174840,E06000023,7617,16,13,49,A4176,E,12,30,A38,358020,173180,A4018,,0,South West,,0,127,764,2006
9/25/2006,2,0,PU,172750,357330,358510,17,2,553,"Bristol, City of",174840,E06000023,7617,24,14,35,A4176,E,19,35,A38,358020,173180,A4018,,1,South West,,0,123,752,2006
9/25/2006,3,0,PU,172750,357330,358510,11,3,601,"Bristol, City of",174840,E06000023,7617,25,15,36,A4176,E,19,36,A38,358020,173180,A4018,,0,South West,,0,98,771,2006
9/25/2006,0,2,PU,172750,357330,358510,12,0,706,"Bristol, City of",174840,E06000023,7617,7,16,70,A4176,E,5,40,A38,358020,173180,A4018,,0,South West,,0,108,873,2006
9/25/2006,0,0,PU,172750,357330,358510,26,0,731,"Bristol, City of",174840,E06000023,7617,2,17,71,A4176,E,2,40,A38,358020,173180,A4018,,0,South West,,0,58,857,2006
9/25/2006,0,0,PU,172750,357330,358510,15,0,710,"Bristol, City of",174840,E06000023,7617,4,18,75,A4176,E,4,38,A38,358020,173180,A4018,,0,South West,,0,30,797,2006
9/25/2006,2,3,PU,172750,357330,358510,9,1,607,"Bristol, City of",174840,E06000023,7617,16,7,23,A4176,W,10,35,A38,358020,173180,A4018,,0,South West,,0,124,791,2006
9/25/2006,1,2,PU,172750,357330,358510,16,4,839,"Bristol, City of",174840,E06000023,7617,31,8,59,A4176,W,23,38,A38,358020,173180,A4018,,1,South West,,0,128,1052,2006
9/25/2006,0,2,PU,172750,357330,358510,12,1,652,"Bristol, City of",174840,E06000023,7617,46,9,45,A4176,W,42,43,A38,358020,173180,A4018,,0,South West,,1,138,891,2006
9/25/2006,1,6,PU,172750,357330,358510,4,1,563,"Bristol, City of",174840,E06000023,7617,31,10,11,A4176,W,23,31,A38,358020,173180,A4018,,0,South West,,0,135,764,2006
9/25/2006,1,0,PU,172750,357330,358510,8,0,620,"Bristol, City of",174840,E06000023,7617,21,11,18,A4176,W,20,37,A38,358020,173180,A4018,,0,South West,,0,137,823,2006
9/25/2006,2,0,PU,172750,357330,358510,9,3,654,"Bristol, City of",174840,E06000023,7617,21,12,20,A4176,W,15,30,A38,358020,173180,A4018,,0,South West,,1,139,853,2006
9/25/2006,1,0,PU,172750,357330,358510,20,0,721,"Bristol, City of",174840,E06000023,7617,19,13,24,A4176,W,18,34,A38,358020,173180,A4018,,0,South West,,0,121,915,2006
9/25/2006,2,1,PU,172750,357330,358510,13,3,750,"Bristol, City of",174840,E06000023,7617,20,14,17,A4176,W,14,35,A38,358020,173180,A4018,,0,South West,,0,108,926,2006
9/25/2006,1,0,PU,172750,357330,358510,20,1,753,"Bristol, City of",174840,E06000023,7617,7,15,21,A4176,W,4,34,A38,358020,173180,A4018,,1,South West,,0,103,917,2006
9/25/2006,0,0,PU,172750,357330,358510,22,0,918,"Bristol, City of",174840,E06000023,7617,13,16,46,A4176,W,13,32,A38,358020,173180,A4018,,0,South West,,0,106,1091,2006
9/25/2006,0,0,PU,172750,357330,358510,34,0,1012,"Bristol, City of",174840,E06000023,7617,1,17,103,A4176,W,1,35,A38,358020,173180,A4018,,0,South West,,0,65,1147,2006
9/25/2006,0,0,PU,172750,357330,358510,24,0,843,"Bristol, City of",174840,E06000023,7617,1,18,67,A4176,W,1,23,A38,358020,173180,A4018,,0,South West,,0,42,933,2006
9/25/2006,0,0,UU,,,,0,0,31,South Gloucestershire,,E06000025,952434,0,7,1,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,4,35,2006
9/25/2006,0,0,UU,,,,0,0,30,South Gloucestershire,,E06000025,952434,0,8,0,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,4,34,2006
9/25/2006,0,0,UU,,,,0,0,31,South Gloucestershire,,E06000025,952434,0,9,1,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,7,38,2006
9/25/2006,0,0,UU,,,,0,0,26,South Gloucestershire,,E06000025,952434,0,10,0,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,4,30,2006
9/25/2006,0,0,UU,,,,0,0,52,South Gloucestershire,,E06000025,952434,1,11,1,,E,1,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,5,58,2006
9/25/2006,0,0,UU,,,,1,0,38,South Gloucestershire,,E06000025,952434,0,12,1,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,5,44,2006
9/25/2006,0,0,UU,,,,2,0,51,South Gloucestershire,,E06000025,952434,0,13,1,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,7,60,2006
9/25/2006,0,0,UU,,,,0,0,56,South Gloucestershire,,E06000025,952434,0,14,0,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,4,60,2006
9/25/2006,0,0,UU,,,,1,0,67,South Gloucestershire,,E06000025,952434,1,15,4,,E,1,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,9,78,2006
9/25/2006,0,0,UU,,,,3,0,76,South Gloucestershire,,E06000025,952434,3,16,4,,E,3,1,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,10,93,2006
9/25/2006,0,0,UU,,,,1,0,95,South Gloucestershire,,E06000025,952434,0,17,1,,E,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,12,108,2006
9/25/2006,0,0,UU,,,,1,0,99,South Gloucestershire,,E06000025,952434,1,18,1,,E,1,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,8,109,2006
9/25/2006,0,0,UU,,,,1,0,26,South Gloucestershire,,E06000025,952434,0,7,1,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,2,29,2006
9/25/2006,0,0,UU,,,,0,0,38,South Gloucestershire,,E06000025,952434,0,8,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,2,40,2006
9/25/2006,0,0,UU,,,,0,0,26,South Gloucestershire,,E06000025,952434,0,9,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,3,29,2006
9/25/2006,0,0,UU,,,,0,0,23,South Gloucestershire,,E06000025,952434,0,10,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,2,25,2006
9/25/2006,0,0,UU,,,,1,0,31,South Gloucestershire,,E06000025,952434,0,11,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,4,36,2006
9/25/2006,0,0,UU,,,,0,0,26,South Gloucestershire,,E06000025,952434,0,12,1,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,3,29,2006
9/25/2006,0,0,UU,,,,1,0,19,South Gloucestershire,,E06000025,952434,0,13,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,5,25,2006
9/25/2006,0,0,UU,,,,0,0,27,South Gloucestershire,,E06000025,952434,0,14,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,2,29,2006
9/25/2006,0,0,UU,,,,0,0,23,South Gloucestershire,,E06000025,952434,1,15,0,,W,1,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,5,29,2006
9/25/2006,0,0,UU,,,,0,0,30,South Gloucestershire,,E06000025,952434,1,16,0,,W,1,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,3,34,2006
9/25/2006,0,0,UU,,,,0,0,39,South Gloucestershire,,E06000025,952434,0,17,0,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,5,44,2006
9/25/2006,0,0,UU,,,,0,0,34,South Gloucestershire,,E06000025,952434,0,18,1,,W,0,0,,359427,181243,U,"west of Birch Close, Patchway,",0,South West,Sycamore Drive,0,2,36,2006
9/22/2006,7,0,PR,184450,362671,361060,12,5,465,South Gloucestershire,186727,E06000025,6399,36,7,5,B4427,N,20,9,Old Aust Rd,361540,185000,A38,,1,South West,,3,104,626,2006
9/22/2006,5,5,PR,184450,362671,361060,14,0,710,South Gloucestershire,186727,E06000025,6399,35,8,1,B4427,N,17,12,Old Aust Rd,361540,185000,A38,,2,South West,,6,114,885,2006
9/22/2006,8,0,PR,184450,362671,361060,2,15,418,South Gloucestershire,186727,E06000025,6399,54,9,3,B4427,N,20,7,Old Aust Rd,361540,185000,A38,,8,South West,,3,102,583,2006
