HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
9,South West,E06000024,157500,335,North Somerset,123,343,LA Boundary,TM,13,3,10/7/2014,84,337520,2231,14,22,N,,0,1537,337878,2014,84,155010,162596,,,338400,16021,M5,13
14,South West,E06000024,157500,272,North Somerset,90,286,LA Boundary,TM,10,9,10/7/2014,48,337520,1885,14,14,S,,0,1308,337878,2014,89,155010,162596,,,338400,16021,M5,17
4,South West,E06000022,165000,23,Bath and North East Somerset,0,65,A4(T),PR,7,5,10/7/2014,16,371367,394,14,0,E,Connection Rd,1,294,372440,2014,3,165575,164810,,,372200,16122,A36,0
3,South West,E06000022,165000,29,Bath and North East Somerset,1,93,A4(T),PR,0,3,10/7/2014,19,371367,495,14,3,W,Connection Rd,1,370,372440,2014,2,165575,164810,,,372200,16122,A36,1
16,South West,E06000025,176100,78,South Gloucestershire,3,234,Station Road Link,PR,4,10,10/7/2014,39,366580,1237,14,10,N,B4465,1,911,367490,2014,8,174740,176520,,,367330,77050,A4174,2
8,South West,E06000025,176100,72,South Gloucestershire,12,195,Station Road Link,PR,8,18,10/7/2014,36,366580,1346,14,6,S,B4465,1,1053,367490,2014,8,174740,176520,,,367330,77050,A4174,2
0,South West,E06000022,169664,2,Bath and North East Somerset,0,71,,CR,1,3,10/7/2014,2,,436,14,0,N,,0,359,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000022,169664,4,Bath and North East Somerset,0,50,,CR,1,2,10/7/2014,2,,345,14,2,S,,0,288,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000023,170896,0,"Bristol, City of",0,3,,UU,0,0,10/7/2014,0,,39,14,0,N,,0,36,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
0,South West,E06000023,170896,0,"Bristol, City of",0,2,,UU,0,1,10/7/2014,0,,17,14,0,S,,1,14,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
