HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174360,9,"Bristol, City of",0,66,UU,1,5,4/21/2008,9,380,9,0,N,2,299,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,174360,4,"Bristol, City of",0,56,UU,1,3,4/21/2008,3,306,9,1,S,2,242,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,2,UU,0,1,4/21/2008,0,16,9,0,E,1,13,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000023,175137,1,"Bristol, City of",0,2,UU,0,0,4/21/2008,1,12,9,0,W,0,9,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000024,174099,0,North Somerset,0,0,CR,0,0,4/21/2008,0,3,9,0,N,0,3,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,174099,0,North Somerset,0,0,CR,0,0,4/21/2008,0,0,9,0,S,0,0,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,163592,0,North Somerset,0,1,UU,0,0,4/21/2008,0,30,9,0,N,1,29,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000024,163592,0,North Somerset,0,0,UU,0,0,4/21/2008,0,11,9,0,S,0,11,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,0,UU,0,0,4/21/2008,0,38,9,0,E,1,38,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,0,UU,0,0,4/21/2008,0,9,9,0,W,0,9,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
